Akronim,Kepanjangan
AVI,Agence Vietnamienne d'Information
AZAP,Agence Zaire de Presse
B.A.,Bachelor of Arts
B.B.A.,Bachelor of Business Administration
B.CH.E,Bachelor of Chemical Engineering
B.SC.,Bachelor of Science
BAT,British American Tobacco
BBC,British Broadcasting Corporation
BBS,Bangladesh Sangbad Sangstha
BC,before Christ
BCC,blind carbon copy
BCG,Bacillus Calmette-Guerin
BEP,break-even point
BGA,Ball Grid Array
BIOS,Basic Input Output System
BIS,Bank for International Settlement
BL,bill of lading
BO,body odour
BOE,barrel oil equivalent
BTA,Bulgarska Telegrafischeka Agentzia
BTS,base transmission station
BTU,British Thermal Unit
BW,burgerlijk wetboek
C.C.,carbon copy
C.O.,"""""1 care of, 2 commanding officer"
C.Q.,casu quo
C,"""""1 Celcius, 2 carbon"
CA,circa
CAN,Cyprus News Agency
CANA,Caribbian News Agency
CAS,Column Address Signal
CBO,Community Base Organization
CC,carbon copy
CCD,Charge Coupled Device
CCTV,Closed Circuit Television
CD-ROM,Compact Disk-Read Only Memory
CD,Corps Diplomatique
CDMA,Code Division Multiple Acces
CDR,Compact Disk Recorder
CDRW,Compact Disk Re-Writer
CEO,chief executive officer
CF,confer
CGI,Consultative Group on Indonesia
CIA,Central Intelligence Agency
CNRT,Conselho Nacional da Resistencia Timorense
CO.,company
COD,"""""1 cash on delivery, 2 collect on delivery"
COMINAC,Conference of Ministers of Information of Non-Alignment Countries
CP,"""""1 Canadian Press, 2 cerebral palsy"
CPE,central planned economics
CPL,Civil Pilot Licence
CPO,crude palm oil
CPU,central processing unit
CRC,Canadian Red Cross
CRT,Cathode-Ray Tube
CS,customer support
CSIS,Center for Strategic and International Studies
CSO,Civil Society Organization
CSW,"""""1 Centrale Stichting Wederopbouw, 2 Centrale Staatswerken"
CTK,Czekolavenska Tiskora Kancelar
CV,"""""1 Commanditaire Vennootschap, 2 curriculum vitae, 3 cardiovascular"
CWS,Church World Services
D.SC.,doctor of science
DAC,Digital-to-Analog Converter
DACS,Digital Acces and Cross-connect System
DAE,Digital Audio Extraction
DBA,doctor of business administration
DC,"""""1 direct current, 2 decimal classification"
DDC,"""""1 Dewey Decimal Classification, 2 Display Data Channel"
DDR-SDRAM,Double Data Rate-Synchronous Dynamics Random Acces Memory
DDR,Double Data Rate
DDS,doctor of dental surgery
DDT,dichloro-diphenyl-trichloro-ethane
DEC,Digital Equipment Corporation
DIMM,dual inline memory module
DLS,Doctor of Library Science
DM,diabetes melitus
DMA,"""""1 Direct Memory Access, 2 Doctor of Musical Arts"
DNA,deoxyribonucleic acid
DO,"""""1 delivery order, 2 drop out , 3 Doctor of Osteopathy"
DOCSIS,Data Over Cable Systems Interface Specifications
DOZ,dozen
DP,Down Payment
DPI,dot per inch
DR.H.C,Doctor Honoris Causa
DR.PHIL.,"""""Doctor Philosophiae, Doctor of Philosophy"
DR.TH.,Doctor Theologiae
DRAM,Dynamic Random Access Memory
DVD-RAM,Digital Versatile Disc-Random Access Memory
DVD,Digital Versatile Disc
E.G.,exempli gratia
E.Z.,Economische Zaken
ECAFE,Economic Commission for Asia and the Far East
ECC,Error Correction Code
ECG,electrocardiogram
ECOSOC,Economic and Social Council
ECP,Enhanced Capability Port
EEC,European Economic Community
EEG,"""""1 electroencephalogram, 2 electroencephalograph"
EKG,elektrokardiogram
ELS,Europeesche Lagere School
ENA,Ethiopian News Agency
EO,event organizer
EPIC,Explicitly Parallel Instruction Computing
EPP,Enhanced Parallel Port
EPZ,export processing zone
EQ,emotional quotient
ERA,Early Recovery Assistance
ERTS,Earth Resources Telecommunication Satellite
ESCAP,Economic and Social Commission for Asia and the Pacific
ESD,Electrostatic Discharge
ET AL.,"""""et alia, et alii"
ET SEQ.,et sequentes
ETA,estimated time Of arrival
ETC.,et cetera
ETD,estimated time of departure
EU,European Union
EV,electric vehicle
EWSD,Electronic Worldwide Switch Digital
EXT.,extension
FALINTIL,Forcas Armadas da Libertacao Nacional de Timor Leste
FAO,Food and Agriculture Organization
FAQ,frequently asked questions
FASC.,fasciculus
FAX,facsimile
FB,Facebook
FBI,Federal Bureau of Investigation
FC-PGA,Flip Chip Pin Grid Array
FDC,Floppy Disk Controller
FDD,Floppy Disk Drive
FDDI,Fiber Distributed Data Interconnect
FERAM,Ferroelectric Random
FF,"""""1 folios, 2 following ones, 3 fortissimo"
FGD,focus group discussion
FIFA,federation internationale de football association
FIFO,First In First Out
FLOPS,Floating Point Operations per Second
FM,frequency modulation
FMD-ROM,Fluorescent Multilayer Disk-Read Only Memory
FMD,Fluorescent Multilayer Disk
FOB,free on board
FOC,free of charge
FPGA,Field-Programmable Gate Array
FPM,Fast Page Mode
FPU,Floating Point Unit
FR.,frater
FSAA,Full Screen Anti-Aliasing
FSB,Front Side Bus
FT.,"""""foot, feet"
FTP,file transfer protocol
FXSR,fast floating-point save and restore
GABA,gamma-aminobutyric acid
GAL,gallon
GANEFO,Games of the New Emerging Forces
GART,Graphics Address Remapping Table
GATT,General Agreement on Tariffs and Trade
GB,"""""1 gigabyte, 2 Great Britain"
GBPS,gigabyte per second
GDI,Graphical Device Interface
GDP,Gross Domestic Product
GESTAPO,Geheime Staatspolizei
GFD,Gold Finger Device
GFF,Gold Free Fall
GHZ,gigahertz
GI,government issue
GIA,Garuda Indonesia Airways
GIF,graphics interchange format
GM,"""""1 grand master, 2 general manager"
GMT,Greenwich Mean Time
GNA,"""""1 Gulf News Agency, 2 Ghana News Agency"
GNP,gross national product
GO,gonorrhoea
GPA,"""""1 Graphics Performance Accelerator, 2 grade point average"
GPO,general post office
GPRS,general packet radio service
GPS,"""""1 global positioning system, 2 gallons per second"
GPU,graphics processing unit
GQ,general quarters
GSM,Global System For Mobile Communication
GSO,"""""1 general staff officer, 2 geostationary"
GSR,Gigabit Switch Router
HARM,high speed antiradiation missile
HBS,Hogere Burger School
HDD,hard disk drive
HDL,high-density lipoprotein
HI-FI,high fidelity
HIK,Hollandsche Indische Kweekschool
HIS,Hollandsch Inlandsche School
HIV,human immunodeficiency viruses
HO,hongeroedeem
HOA,head of agreement
HPV,human papillomavirus
HRD,human resources development
HVS,houtvrij schrijfpapier
HW,Hizbul Waton
IBID,ibidem
ID.,idem
I.C.,in casu
I.E.,id est
I/O,Input/Output
IAAE,International Association of Agricultural Economists
IAAF,International Amateur Athletic Federation
IABA,International Amateur Boxing Association
IAEA,International Atomic Energy Agency
IAS,"""""1 indicated airspeed, 2 Indonesian Air Show"
IATA,International Air Transport Association
IBF,"""""1 International Badminton Federation, 2 International Boxing Federation"
IBM,International Business Machines
ICAO,International Civil Aviation Organization
ICCS,International Commission of Control and Supervision
ICCU,intensive coronary care unit
ICU,intensive care unit
ICW,Indonesian Corruption Watch
IDA,Intenational Development Association
IDB,Islamic Development Bank
IFAD,International Fund for Agricultural Development
IFO,identified flying object
IFTU,International Federation of Trade Unions
IG,Instagram
IGGI,Inter-Governmental Group on Indonesia
IGOS,Indonesia Go Open Source
IHA,Indonesian Heritage Agency
ILO,International Labour Organization
IMF,International Monetary Fund
IMO,International Meteorological Organization
IMPACT,Inspiration for Managing People's Action
INA,Iraq News Agency
INDOSAT,Indonesian Satellite Corporation
INMA,International Newspaper Marketing Association
INRA,Institut National de la Recherche Agronomique
INRI,Iesus Nazarenus Rex Iudaeorum
INTELSAT,International Telecommunications Satellite
INTERFET,International Force for East Timor
INTERPOL,International Police
IOC,International Olympic Committee
IPPF,International Planned Parenthood Federation
IQ,intelligence quotient
IR,"""""1 infrared, 2 intelligence ratio"
IRNA,Islamic Republic News Agency
IRPA,Indonesian Risk Professional Association
IRRI,International Risk Research Institute
ISBN,International Standard Book Number
ISO,International Organization for Standardization
ISP,internet service provider
ISSN,International Standard Serial Number
ITO,International Treaty Organization
ITPC,Indonesia Trade Promotion Center
ITRA,Indonesia Tours and Travel Association
ITU,International Telecommunication Union
IU,International Unit
IUD,intrauterine device
JNA,Jordan News Agency
KCNA,Korean Central News Agency
KDP,Kecamatan Development Project
KITLV,"""""Koninklijk Instituut voor Taal-, Land-en Volkenkunde"
KMH,"kmph,kilometer per hour"
KMPS,kilometer per second
KN,knot
KUNA,Kuwait News Agency
KV,kilovolt
KVA,kilovolt-ampere
KW,kilowatt
KWH,kilowatt-hour
LASER,light amplification by stimulated emission of radiation
LASIK,laser-assisted in situ keratomileusis
LB,libra
LDT,Lightning Data Transport
LC,letter of credit
LCD,liquid crystal display
LD,laser disc
LED,Light-Emitting Diode
LIFO,"""""last in, first out"
LIONS,"""""Liberty, Intelligence, Our Nation's Safety"
LITT D,litterarum doctor
LL.B,Legum Baccalaureus
LL.D,Legum Doctor
LMT,local mean time
LNG,liquefied natural gas
LO,liaison officer
LOC CIT.,loco citato
LOI,letter of intent
LTD.,limited
LUN,Logical Unit Number
LVD,Low-Voltage Differential
LW,"""""long wave (tt radio), low water"
LZ,landing zone
M.A.,master of arts
M.B.A.,master of business administration
M.P.A.,master of public administration
M.P.H.,master of public health
M.PH.,master of philosophy
M.SC.,master of science
MAC,Media Access Control
MB,"""""1 Megabyte, 2 MotherBoard"
MBPS,Megabyte Per Second
MC,"""""1 master of ceremonies, 2 minderwaardigheids complex, 3 Micro-Channel"
MCA,Micro Channel Architecture
MCE,Machine Check Exception
MCGA,Multi-Color Graphic Array
MD,medicinae doctor
MDF,Multi Donor Fund
MDRAM,Multibank Dynamic Random Access Memory
MEMS,Micro-Electromechanical Systems
MENA,Middle East News Agency
MFLOPS,Million of Floating Point Operations Per Second
MFM,Modified Frequency Modulation
MGR.,monseignor
MID,military intelligence department
MIPS,Million Instruction Per Second
MMX,Multi-Media Extensions
MNA,Merpati Nusantara Airlines
MONTA,Mongolian Telegraphics Agency
MOU,memorandum of understanding
MP,"""""1 member of parliament, 2 military police"
MPH,"m.p.h.,miles per hour"
MPV,multi purpose vehicle
MR.,meester in de rechten
MRS.,Mistress
MS,manuscript
MTOW,maximum take off weight
MULO,Meer Uitgebreid Lager Onderwijs
N.N.,nomen nescio
NAFED,National Agency of Export Development
NASA,National Aeronautics and Space Administration
NATO,North Atlantic Treaty Organization
NDC,nationally determined contribution
NEFO,new emerging forces
NGO,Non Government Organization
NHK,Nippon Hoso Kyokai
NIAS,Nederlands Indische Artsen School
NIC,"""""1 Network Interface Card, 2 Newly Indrustrialized Countries"
NICA,Nederlands Indies Civil Administration
NPD,narcissistic personality disorder
NPU,neural processing unit
NRC,Netherland Red Cross
NSA,National Security Agency
NV,naamlaze vennotschap
OANA,Organization of Asian News Agencies
OAS,Organization of American States
OAU,Organization of Africans Unity
OC,organizing committee
OD,Over Dosis
OECD,Organization for Economic Cooperation and Development
OECF,Overseas Economic Cooperation Fund
OEM,Original Equipment Manufacturer
OHP,overhead projector
OIC,Organization of Islamic Conference
OL,OnLine
OPBF,Orient Pacific Boxing Federation
OPEC,Organization of Petroleum Exporting Countries
P.A.,per annum
P.C.,pour condoleance
P.F.,pour feliciter
P.F.V.,pour faire visite
P.M.,post meridiem
P.P.,pulang pergi
P.R.,pour remercier
P,pagina
PA,Pascal
PAP,Polska Agencia Prasowa
PAS,Pelita Air Service
PATA,Pacific Area Travel Association
PC,personal computer
PCB,printed circuit board
PCI,Peripheral Component Interconnect
PDF,portable document format
PEN,"""""Internasional Association of Poets, Playwrights, Editors, and Novelists"
PH.D.,philosophiae doctor
PIXEL,picture element
PK,paardekracht
PLO,Palestine Liberation Organization
PNA,Philipines News Agency
PO BOX,post office box
PPM,part per milion
PPQ,part per quadrilion
PPT,part per trilion
PPTV,part per trilion by volume
PRA,Participatory Rural Appraisal
PROSEA,Plant Resources of South-East Asia
PROTEM,pro tempore
PS,"""""1 postscriptum, 2 power steering"
PSC,production sharing contract
PSU,Power Supply Unit
PSV,Publik Service Vehicle
PTO,please turn over
PVC,polyvinyl chloride
PWC,Price Waterhouse Coopers
Q.E.,quod est
Q.Q.,qualitate qua
Q.V.,quod vide
QANTAS,Queensland and Northern Territories Air Services
QRIS,Quick Response Code Indonesian Standard
R & D,reseach and development
R.P.M.,revolutions per minute
R.P.S.,revolutions per second
RADAR,radio detecting and ranging
RAM,Random Access Memory
RC,Rehabilitation Center
RCP,Rural Credit Programme
RDG,radiogram
RDRAM,Rambus Dynamic Random Access Memory
RFP,Request for Proposal
RGB,Red Green Blue
RH FACTOR,rhesus factor
RNA,"""""ribonucleic acid, ribose nucleic acid"
RSVP,repondez s'il vous plait
S.V.,sub voce atau sub verbo
S.V.P.,s'il vous plait
S,small
SAE,Society of Automotive Engineers
SALT,Strategic Arms Limition Talks
SAN,Storage Area Network
SANA,Syrian Arab News Agency
SAPA,South African Press Agency
SAW.,Salllallahu alaihi wassalam
SEA GAMES,Southeast Asian Games 'Pesta Olahraga Asia Tenggara'
SEAMEO,Southeast Asian Ministers of Education Organization
SEATO,Southeast Asian Treaty Oganization
SEC,Securities and Exchange Commission
SGS,Societe Generale de Surveillance
SKD,semi-knock-down
SMS,short message service
SNPE,societe nationale des poudres et des explosifs
SOB,staat van oorlog en beleg
SOHO,Small Office Home Office
SOP,Standard Operation Procedure
SOS,"""""1 save our ships, 2 save our souls"
SPA,Saudi Press Agency
SPV,special purpose vehicle
SRAM,Static Random Access Memory
SRC,Spanish Red Cross
SS,"""""1 space shuttle, 2 Schutzstaffel"
SSB,single side band
STOVIA,School tot Opleiding van Indische Artsen
STP,Scientifically Treated Petroleum
STS,space transportation system
SUNA,Sudan National News Agency
SUV,sport utility vehicle
SVGA,Super Video Graphics Array
SW,shortwave
SWOT,"""""strengths, weaknesses, opportunities, and threats"
SWT.,Subhana wa Ta'ala
TAP,Tunis Afrique Presse
TASS,Telegrafnoie Agenstvo Sovietskavo Soyusa
TBC,tuberculosis
TC,traning center
TCD,"""""typhus, cholera, dysentry"
TEC,Thermoelectric Cooler
TEE,tetrachlorethylience
TEFL,Teaching English as Foreign Language
TELEFAC,telefacsimile
TELEX,teleprinter exchange
TESL,Teaching English as a Second language
TESOL,Teaching English to Speakers of Other Languages
TFT,Thin Film Transistor
TGV,train grande vitesse
TKO,technical knock-out
TL,tube luminescent
TMC,Traffic Management Center
TMO,telegraphic money order
TNA,Thailand News Agency
TNT,trinitrotoluene
TOE,tonnes oil equivalent
TOEFL,Test of English as a Foreign Language
TOT,"""""1 training of trainer, 2 transfer of technology"
TT,telegrafic transfer
TTR,type-token ratio
TWAIN,Technology Without An Important Name
UAE,United Arab Emirates
UCC,Universal Copyright Convention
UFO,Unidentified Flying Object
UHF,ultrahigh frequency
UK,United Kingdom
UMA,Unified Memory Architecture
UMNO,United Malay National Organization
UMPC,Ultra Mobile Personal Computer
UNA,Uganda News Agency
UNAEC,United Nation Atomic Energy Commission
UNAMET,United Nations Assistance Mission for East Timor
UNCI,United Nations Commission for Indonesia
UNCNR,United Nations Conference on Natural Rubber
UNCTAD,United Nations Conference on Trade and Development
UNDP,United Nations Development Programme
UNEP,United Nations Environment Programme
UNESCO,"""""United Nations Educational, Scientific, and Cultural Organization"
UNFPA,United Nations fund for Papulation Activities
UNHCR,United Nations High Commissioner for Refugees
UNICEF,United Nations International Children's Emergency Fund
UNIDO,United Nations Industrial Development Organization
UNO,United Nations Organization
UNRWA,United Nations Relief And Works Agency
UNSC,United Nation Security Council
UNTAA,United Nations Technical Assistance Administration
UNTAET,United Nations Transitional Administration in East Timor
UNTEA,United Nations Temporary Executive Authority
UP,United Press
UPS,Uninterruptible Power Supply
UPU,Universal Postal Union
URL,uniform resource locator
USA,United States of America
USIA,United States Information Agency
USNO,United Sabah National Organization
USSR,Union of Soviet Socialist Republics
UTP,Unshielded Twisted Pair
V.H.,voorhen
V.S,vide supra
V.V.,vice versa
VALAS,valuta asing
VAT,value-added tax
VCD,video compact disc
VCM,Virtual Channel Memory
VCR,video cassette recorder
VCRAM,Virtual Channel Read Access Memory
VD,venereal disease
VDS,videodisk recorder
VDSL,Very High Data Digital Subscriber Line
VDT,video display terminal
VDU,visual display unit
VER,visum et repertum
VESA,Video Electronics Standards Association
VF,"""""1 video frequency, 2 voice frequency"
VFD,Vacuum-Flourescent Displays
VFR,visual flight rules
VGA,Video Graphics Array
VHF,very high frequency
VIP,very important person
VISTA,Volunteers in Service to America
VIVO,"""""Video In, Video Out"
VLB,Vesa Local Bus
VLF,very low frequency
VOA,Voice of America
VOC,Verenigde Oost Indische Compagnie
VOL.,volume
VOM,volt-ohm meter
VPN,Virtual Private Network
VRAM,Video Random Access Memory
VS,versus
VTR,"""""1 video tape recorder, 2 video tape recording"
VVIP,very very important person
VW,Volkswagen
WA,WhatsApp
WAMS,World Association of Muslim Scholars
WAP,wireless application protocol
WBA,World Boxing Association
WBC,World Boxing Commision
WBF,"""""1 World Badminton Federation, 2 World Boxing Federation"
WC,water closet
WFTU,World Federation of Trade Unions
WHO,World Health Organization
WIC,Women International Club
WIFI,wireless fidelity
WORM,Write Once Read-Many
WRAM,Windows Random Access Memory
WT,wireless telegragraphy
WTC,world trade center
WTO,"""""1 World Trade Organization, 2 World Tourism Organization"
WWF,World Wildlife Fund
WWW,world wide web
WYSIWYG,What You See Is What You Get
X DIV,ex dividend
X INT,ex interest
XGA,Extended Graphics Array
XL,"""""1 extralarge, 2 extralong"
XMS,Extended Memory Specification
XS,extrasmall
XT,Extended Technology
YMCA,Young Men's Christian Association
YOY,year on year
YTM,Youth Tourist Movement
YWCA,Young Women's Christian Association
ZA,Zwavelzure Ammoniak
ZANA,Zambia News Agency
ZBB,zero-based budgeting
ZIF,Zero Insertion Force
ZIP,zoning improvement
ZO,zero option
ZOPFAN,"""""zone of peace, freedom, and neutrality"
ZOZ,zie ommezijde
ZPG,Zero Population Growth
ZV,Zoomed Video
